詞目id,詞目類型,漢字,羅馬字,分類
295,主詞目,小玉仔,sió-gio̍k-á,"蔬果作物,食物、飲料、煙酒"
296,主詞目,小白菜,sió-pe̍h-tshài,"蔬果作物,醫療保健,食物、飲料、煙酒"
297,主詞目,大甲蓆,Tāi-kah-tshio̍h,生活用品
298,主詞目,上任,tsiūnn-jīm/tsiūnn-līm,相關用語
299,主詞目,久仰,kiú-gióng,
300,主詞目,干休,kan-hiu,副詞
301,主詞目,大名,tuā-miâ,相關用語
302,主詞目,大囝,tuā-kiánn,"宗族、家庭,稱謂輩分"
303,主詞目,小名,sió-miâ,稱謂輩分
304,主詞目,小囝,sió-kiánn,泛稱
305,主詞目,大同仔,tāi-tông-á,"蔬果作物,食物、飲料、煙酒"
306,主詞目,上好,siōng hó,性質、程度
307,主詞目,也好,iā hó,副詞
308,主詞目,土地,thóo-tē/thóo-tuē,"地理,資源礦物"
309,主詞目,土地公,Thóo-tī-kong,神明、鬼怪、教派
310,主詞目,下早仔,e-tsái-á,時間節令
311,主詞目,大耳,tuā-hīnn/tuā-hī,"才智能力,個性風格,體態樣貌"
312,主詞目,大舌,tuā-tsi̍h,反應、表情
313,主詞目,大伯,tuā-peh,"宗族、家庭,稱謂輩分"
314,主詞目,大位,tuā-uī,稱謂輩分
315,主詞目,工作,kang-tsok,相關用語
316,主詞目,山伯英台,San-phik-Ing-tâi,"文學、藝術,戲劇、音樂"
317,主詞目,大妗,tuā-kīm,"宗族、家庭,稱謂輩分"
318,主詞目,山尾溜,suann-bué-liu/suann-bé-liu,"地理,自然現象"
319,主詞目,子弟,tsú-tē,"宗族、家庭,稱謂輩分"
320,主詞目,小弟,sió-tī,"宗族、家庭,稱謂輩分"
321,主詞目,子弟戲,tsú-tē-hì,戲劇、音樂
322,主詞目,三更,sann-kenn/sann-kinn,時間節令
323,主詞目,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,時間節令
324,主詞目,口灶,kháu-tsàu,"國家、社會、民眾,數詞、量詞"
325,主詞目,小肚,sió-tōo,生理構造
326,主詞目,大肚胿,tuā-tōo-kui,"生理構造,兩性、婚姻,生養老死"
327,主詞目,三角,sann-kak,"錢財資產,形貌、體積"
328,主詞目,久見,kiú-kiàn,交際應酬
329,主詞目,山谷,suann-kok,"地理,自然現象"
330,主詞目,川芎,tshuan-kiong,"蔬果作物,醫療保健"
331,主詞目,川貝,tshuan-puè,"蔬果作物,醫療保健"
332,主詞目,干貝,kan-puè,食物、飲料、煙酒
333,主詞目,千里眼,Tshian-lí-gán,神明、鬼怪、教派
334,主詞目,三角窗,sann-kak-thang,建築物、結構
335,主詞目,三角褲,sann-kak-khòo,衣帽鞋襪
336,主詞目,千里鏡,tshian-lí-kiànn,生活用品
337,主詞目,久來,kú--lâi,時間節令
338,主詞目,口供,kháu-king,法律
339,主詞目,大使,tāi-sài,"服務業及其他,外交"
340,主詞目,小事,sió-sū,事、物泛稱
341,主詞目,小使,siáu-sú,"泛稱,相關用語"
342,主詞目,工事,kang-sū,相關用語
343,主詞目,女兒,lú-jî/lú-lî,"宗族、家庭,稱謂輩分"
